state,name,uf,inserted_at,updated_at
Pernambuco,Santa Terezinha,PE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Jaguarari,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Alagoas,Ouro Branco,AL,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Ita,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Galia,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Bauru,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Arco-Iris,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Silvanopolis,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Sitio do Mato,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Pareci Novo,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Alagoas,Coqueiro Seco,AL,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Guapo,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Turvo,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Novo Cabrais,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Buritizal,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Porteirao,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Ipaporanga,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Parari,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sergipe,Lagarto,SE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Formiga,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Pirai do Norte,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Serra Azul de Minas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Forquetinha,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Japira,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Palmas,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Pedra Dourada,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Perdoes,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Tasso Fragoso,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Tiangua,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Cascavel,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Ibitita,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Sarapui,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Palmares do Sul,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio de Janeiro,Sao Fidelis,RJ,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Cruz das Almas,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Taquaritinga,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Pauliceia,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Orizania,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rondonia,Chupinguaia,RO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Santa Clara d'Oeste,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Muniz Ferreira,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Cordeiros,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Prado Ferreira,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Pojuca,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Acreuna,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Luciara,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Coivaras,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Bocaina de Minas,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Cubatao,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Jaguaribe,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Liberdade,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Cidade Gaucha,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Adrianopolis,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Itapeva,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Norte,Janduis,RN,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Tres Fronteiras,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso do Sul,Mundo Novo,MS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Sao Jose do Brejo do Cruz,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Nova Bassano,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Sao Sebastiao do Maranhao,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Sao Sebastiao do Oeste,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Nova Marilandia,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Terra Rica,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Nortelandia,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Nordestina,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Para,Bom Jesus do Tocantins,PA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Taquarituba,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
